ordem_codigo,data_fabricacao,data_validade,status
OP-2025-0047,2025-04-24,2028-04-24,CONSUMIDO
OP-2025-0050,2025-04-18,2026-04-18,VENCIDO
OP-2025-0051,2025-04-27,2030-04-27,CONSUMIDO
OP-2025-0052,2025-04-28,2030-04-28,CONSUMIDO
OP-2025-0053,2025-04-23,2030-04-23,CONSUMIDO
OP-2025-0054,2025-04-27,2028-04-27,CONSUMIDO
OP-2025-0055,2025-04-28,2030-04-28,CONSUMIDO
OP-2025-0056,2025-04-27,2030-04-27,CONSUMIDO
OP-2025-0059,2025-05-02,2030-05-02,CONSUMIDO
OP-2025-0060,2025-04-27,2026-04-27,VENCIDO
OP-2025-0061,2025-05-04,2030-05-04,CONSUMIDO
OP-2025-0062,2025-05-04,2028-05-04,CONSUMIDO
OP-2025-0063,2025-05-05,2030-05-05,CONSUMIDO
OP-2025-0064,2025-04-28,2028-04-28,CONSUMIDO
OP-2025-0065,2025-05-03,2028-05-03,CONSUMIDO
OP-2025-0066,2025-05-10,2030-05-10,CONSUMIDO
OP-2025-0067,2025-05-10,2030-05-10,CONSUMIDO
OP-2025-0068,2025-05-07,2030-05-07,DISPONIVEL
OP-2025-0069,2025-05-09,2029-05-09,DISPONIVEL
OP-2025-0070,2025-05-06,2030-05-06,CONSUMIDO
OP-2025-0071,2025-05-12,2030-05-12,CONSUMIDO
OP-2025-0072,2025-05-13,2030-05-13,CONSUMIDO
OP-2025-0073,2025-05-12,2030-05-12,DISPONIVEL
OP-2025-0074,2025-05-18,2030-05-18,CONSUMIDO
OP-2025-0075,2025-05-10,2028-05-10,CONSUMIDO
OP-2025-0076,2025-05-12,2030-05-12,CONSUMIDO
OP-2025-0077,2025-05-13,2026-05-13,VENCIDO
OP-2025-0078,2025-05-11,2026-05-11,VENCIDO
OP-2025-0079,2025-05-08,2028-05-08,CONSUMIDO
OP-2025-0080,2025-05-14,2030-05-14,CONSUMIDO
OP-2025-0081,2025-05-17,2030-05-17,CONSUMIDO
OP-2025-0082,2025-05-15,2028-05-15,CONSUMIDO
OP-2025-0083,2025-05-18,2030-05-18,CONSUMIDO
OP-2025-0084,2025-05-20,2029-05-20,DISPONIVEL
OP-2025-0085,2025-05-22,2030-05-22,DISPONIVEL
OP-2025-0086,2025-05-23,2030-05-23,CONSUMIDO
OP-2025-0087,2025-05-18,2026-05-18,VENCIDO
OP-2025-0088,2025-05-16,2026-05-16,VENCIDO
OP-2025-0089,2025-05-19,2030-05-19,CONSUMIDO
OP-2025-0090,2025-05-25,2030-05-25,BLOQUEADO
OP-2025-0091,2025-05-19,2030-05-19,CONSUMIDO
OP-2025-0092,2025-05-27,2028-05-27,CONSUMIDO
OP-2025-0094,2025-05-22,2028-05-22,CONSUMIDO
OP-2025-0095,2025-05-22,2030-05-22,CONSUMIDO
OP-2025-0096,2025-05-24,2030-05-24,CONSUMIDO
OP-2025-0097,2025-05-22,2028-05-22,CONSUMIDO
OP-2025-0098,2025-06-01,2030-06-01,CONSUMIDO
OP-2025-0099,2025-05-25,2030-05-25,CONSUMIDO
OP-2025-0100,2025-05-28,2030-05-28,CONSUMIDO
OP-2025-0101,2025-05-31,2030-05-28,CONSUMIDO
OP-2025-0102,2025-05-31,2030-05-28,CONSUMIDO
OP-2025-0103,2025-06-02,2030-06-02,CONSUMIDO
OP-2025-0104,2025-06-07,2028-06-07,CONSUMIDO
OP-2025-0105,2025-05-30,2030-05-28,DISPONIVEL
OP-2025-0106,2025-05-29,2028-05-28,CONSUMIDO
OP-2025-0107,2025-05-29,2026-05-28,VENCIDO
OP-2025-0108,2025-06-04,2030-06-04,CONSUMIDO
OP-2025-0109,2025-05-30,2026-05-28,VENCIDO
OP-2025-0110,2025-06-03,2030-06-03,CONSUMIDO
OP-2025-0111,2025-06-08,2030-06-08,CONSUMIDO
OP-2025-0112,2025-06-03,2028-06-03,CONSUMIDO
OP-2025-0113,2025-06-03,2030-06-03,DISPONIVEL
OP-2025-0114,2025-06-11,2030-06-11,CONSUMIDO
OP-2025-0115,2025-06-11,2028-06-11,CONSUMIDO
OP-2025-0116,2025-06-06,2026-06-06,VENCIDO
OP-2025-0117,2025-06-10,2030-06-10,DISPONIVEL
OP-2025-0118,2025-06-14,2030-06-14,CONSUMIDO
OP-2025-0119,2025-06-09,2030-06-09,CONSUMIDO
OP-2025-0371,2025-06-08,2030-06-08,BLOQUEADO
OP-2025-0120,2025-06-11,2030-06-11,BLOQUEADO
OP-2025-0121,2025-06-13,2030-06-13,CONSUMIDO
OP-2025-0122,2025-06-12,2029-06-12,DISPONIVEL
OP-2025-0123,2025-06-15,2030-06-15,CONSUMIDO
OP-2025-0372,2025-06-08,2026-06-08,VENCIDO
OP-2025-0124,2025-06-07,2026-06-07,VENCIDO
OP-2025-0125,2025-06-10,2028-06-10,CONSUMIDO
OP-2025-0126,2025-06-16,2030-06-16,CONSUMIDO
OP-2025-0128,2025-06-13,2026-06-13,VENCIDO
OP-2025-0130,2025-06-21,2030-06-21,CONSUMIDO
OP-2025-0131,2025-06-17,2030-06-17,DISPONIVEL
OP-2025-0132,2025-06-20,2030-06-20,DISPONIVEL
OP-2025-0133,2025-06-19,2030-06-19,CONSUMIDO
OP-2025-0134,2025-06-16,2030-06-16,CONSUMIDO
OP-2025-0135,2025-06-22,2030-06-22,CONSUMIDO
OP-2025-0136,2025-06-24,2030-06-24,CONSUMIDO
OP-2025-0373,2025-06-19,2026-06-19,VENCIDO
OP-2025-0137,2025-06-22,2028-06-22,CONSUMIDO
OP-2025-0138,2025-06-22,2026-06-22,VENCIDO
OP-2025-0139,2025-06-26,2030-06-26,CONSUMIDO
OP-2025-0140,2025-06-24,2030-06-24,BLOQUEADO
OP-2025-0142,2025-06-30,2030-06-28,CONSUMIDO
OP-2025-0143,2025-06-24,2030-06-24,CONSUMIDO
OP-2025-0144,2025-06-30,2030-06-28,DISPONIVEL
OP-2025-0145,2025-07-01,2030-07-01,CONSUMIDO
OP-2025-0146,2025-06-29,2030-06-28,CONSUMIDO
OP-2025-0147,2025-06-29,2030-06-28,CONSUMIDO
OP-2025-0148,2025-07-06,2030-07-06,CONSUMIDO
OP-2025-0149,2025-06-27,2028-06-27,CONSUMIDO
OP-2025-0150,2025-07-05,2030-07-05,CONSUMIDO
OP-2025-0151,2025-07-01,2028-07-01,CONSUMIDO
OP-2025-0152,2025-07-05,2030-07-05,CONSUMIDO
OP-2025-0153,2025-07-04,2030-07-04,DISPONIVEL
OP-2025-0154,2025-07-05,2030-07-05,CONSUMIDO
OP-2025-0155,2025-07-07,2030-07-07,CONSUMIDO
OP-2025-0156,2025-07-10,2030-07-10,CONSUMIDO
OP-2025-0157,2025-07-12,2030-07-12,CONSUMIDO
OP-2025-0158,2025-07-09,2030-07-09,CONSUMIDO
OP-2025-0159,2025-07-13,2030-07-13,DISPONIVEL
OP-2025-0160,2025-07-06,2026-07-06,VENCIDO
OP-2025-0161,2025-07-10,2030-07-10,CONSUMIDO
OP-2025-0162,2025-07-12,2030-07-12,DISPONIVEL
OP-2025-0163,2025-07-11,2029-07-11,BLOQUEADO
OP-2025-0164,2025-07-12,2030-07-12,CONSUMIDO
OP-2025-0166,2025-07-13,2028-07-13,CONSUMIDO
OP-2025-0167,2025-07-18,2030-07-18,CONSUMIDO
OP-2025-0168,2025-07-19,2030-07-19,CONSUMIDO
OP-2025-0169,2025-07-16,2030-07-16,DISPONIVEL
OP-2025-0170,2025-07-20,2030-07-20,CONSUMIDO
OP-2025-0171,2025-07-14,2030-07-14,DISPONIVEL
OP-2025-0172,2025-07-19,2030-07-19,CONSUMIDO
OP-2025-0173,2025-07-21,2029-07-21,DISPONIVEL
OP-2025-0174,2025-07-20,2026-07-20,VENCIDO
OP-2025-0176,2025-07-27,2030-07-27,CONSUMIDO
OP-2025-0177,2025-07-19,2028-07-19,CONSUMIDO
OP-2025-0178,2025-07-28,2030-07-28,CONSUMIDO
OP-2025-0179,2025-07-25,2030-07-25,CONSUMIDO
OP-2025-0181,2025-07-28,2030-07-28,CONSUMIDO
OP-2025-0182,2025-07-30,2030-07-28,DISPONIVEL
OP-2025-0183,2025-07-28,2030-07-28,CONSUMIDO
OP-2025-0184,2025-08-01,2030-08-01,CONSUMIDO
OP-2025-0185,2025-08-07,2030-08-07,CONSUMIDO
OP-2025-0186,2025-08-02,2030-08-02,CONSUMIDO
OP-2025-0187,2025-08-01,2030-08-01,CONSUMIDO
OP-2025-0188,2025-08-08,2028-08-08,CONSUMIDO
OP-2025-0189,2025-08-04,2030-08-04,CONSUMIDO
OP-2025-0190,2025-07-30,2028-07-28,CONSUMIDO
OP-2025-0191,2025-08-05,2030-08-05,CONSUMIDO
OP-2025-0192,2025-08-04,2028-08-04,CONSUMIDO
OP-2025-0193,2025-08-10,2030-08-10,CONSUMIDO
OP-2025-0194,2025-08-10,2030-08-10,BLOQUEADO
OP-2025-0195,2025-08-07,2030-08-07,CONSUMIDO
OP-2025-0196,2025-08-09,2028-08-09,CONSUMIDO
OP-2025-0197,2025-08-08,2029-08-08,DISPONIVEL
OP-2025-0198,2025-08-06,2028-08-06,CONSUMIDO
OP-2025-0199,2025-08-11,2026-08-11,VENCIDO
OP-2025-0200,2025-08-09,2030-08-09,CONSUMIDO
OP-2025-0201,2025-08-15,2030-08-15,CONSUMIDO
OP-2025-0202,2025-08-10,2026-08-10,VENCIDO
OP-2025-0203,2025-08-16,2028-08-16,CONSUMIDO
OP-2025-0204,2025-08-16,2030-08-16,DISPONIVEL
OP-2025-0205,2025-08-11,2030-08-11,CONSUMIDO
OP-2025-0374,2025-08-10,2026-08-10,VENCIDO
OP-2025-0206,2025-08-16,2030-08-16,CONSUMIDO
OP-2025-0207,2025-08-21,2028-08-21,CONSUMIDO
OP-2025-0208,2025-08-13,2026-08-13,VENCIDO
OP-2025-0209,2025-08-21,2030-08-21,CONSUMIDO
OP-2025-0210,2025-08-19,2030-08-19,DISPONIVEL
OP-2025-0211,2025-08-22,2030-08-22,CONSUMIDO
OP-2025-0212,2025-08-22,2030-08-22,CONSUMIDO
OP-2025-0213,2025-08-22,2030-08-22,CONSUMIDO
OP-2025-0214,2025-08-17,2026-08-17,VENCIDO
OP-2025-0215,2025-08-24,2030-08-24,DISPONIVEL
OP-2025-0216,2025-08-22,2029-08-22,DISPONIVEL
OP-2025-0217,2025-08-21,2028-08-21,CONSUMIDO
OP-2025-0218,2025-08-24,2030-08-24,CONSUMIDO
OP-2025-0219,2025-08-25,2026-08-25,VENCIDO
OP-2025-0220,2025-08-27,2030-08-27,CONSUMIDO
OP-2025-0221,2025-08-29,2030-08-28,CONSUMIDO
OP-2025-0222,2025-09-02,2030-09-02,CONSUMIDO
OP-2025-0223,2025-08-29,2030-08-28,CONSUMIDO
OP-2025-0224,2025-08-30,2028-08-28,CONSUMIDO
OP-2025-0225,2025-08-28,2030-08-28,CONSUMIDO
OP-2025-0226,2025-09-09,2030-09-09,CONSUMIDO
OP-2025-0227,2025-09-07,2030-09-07,CONSUMIDO
OP-2025-0228,2025-09-03,2028-09-03,CONSUMIDO
OP-2025-0230,2025-09-07,2030-09-07,CONSUMIDO
OP-2025-0231,2025-09-10,2030-09-10,CONSUMIDO
OP-2025-0232,2025-09-04,2030-09-04,CONSUMIDO
OP-2025-0233,2025-09-02,2026-09-02,VENCIDO
OP-2025-0234,2025-09-07,2030-09-07,DISPONIVEL
OP-2025-0236,2025-09-10,2030-09-10,DISPONIVEL
OP-2025-0237,2025-09-07,2028-09-07,CONSUMIDO
OP-2025-0238,2025-09-10,2026-09-10,VENCIDO
OP-2025-0239,2025-09-14,2029-09-14,DISPONIVEL
OP-2025-0240,2025-09-16,2030-09-16,CONSUMIDO
OP-2025-0241,2025-09-16,2030-09-16,CONSUMIDO
OP-2025-0242,2025-09-16,2030-09-16,CONSUMIDO
OP-2025-0243,2025-09-13,2030-09-13,CONSUMIDO
OP-2025-0244,2025-09-21,2030-09-21,CONSUMIDO
OP-2025-0245,2025-09-19,2026-09-19,VENCIDO
OP-2025-0246,2025-09-20,2026-09-20,VENCIDO
OP-2025-0247,2025-09-24,2030-09-24,CONSUMIDO
OP-2025-0248,2025-09-24,2030-09-24,CONSUMIDO
OP-2025-0249,2025-09-24,2030-09-24,CONSUMIDO
OP-2025-0250,2025-09-21,2029-09-21,DISPONIVEL
OP-2025-0251,2025-09-25,2030-09-25,CONSUMIDO
OP-2025-0252,2025-09-25,2030-09-25,DISPONIVEL
OP-2025-0253,2025-09-23,2030-09-23,CONSUMIDO
OP-2025-0254,2025-09-24,2030-09-24,CONSUMIDO
OP-2025-0255,2025-09-24,2028-09-24,CONSUMIDO
OP-2025-0256,2025-09-28,2030-09-28,CONSUMIDO
OP-2025-0257,2025-10-01,2030-10-01,CONSUMIDO
OP-2025-0258,2025-09-27,2030-09-27,CONSUMIDO
OP-2025-0259,2025-10-02,2030-10-02,DISPONIVEL
OP-2025-0260,2025-10-05,2030-10-05,CONSUMIDO
OP-2025-0261,2025-09-28,2030-09-28,CONSUMIDO
OP-2025-0262,2025-09-27,2030-09-27,CONSUMIDO
OP-2025-0375,2025-09-26,2030-09-26,DISPONIVEL
OP-2025-0263,2025-09-27,2028-09-27,CONSUMIDO
OP-2025-0264,2025-10-03,2028-10-03,CONSUMIDO
OP-2025-0265,2025-10-06,2030-10-06,CONSUMIDO
OP-2025-0266,2025-10-08,2030-10-08,CONSUMIDO
OP-2025-0267,2025-10-03,2028-10-03,CONSUMIDO
OP-2025-0268,2025-10-09,2029-10-09,BLOQUEADO
OP-2025-0269,2025-10-09,2030-10-09,CONSUMIDO
OP-2025-0270,2025-10-12,2030-10-12,CONSUMIDO
OP-2025-0271,2025-10-10,2030-10-10,DISPONIVEL
OP-2025-0272,2025-10-10,2028-10-10,CONSUMIDO
OP-2025-0273,2025-10-10,2030-10-10,DISPONIVEL
OP-2025-0274,2025-10-10,2026-10-10,DISPONIVEL
OP-2025-0275,2025-10-15,2030-10-15,CONSUMIDO
OP-2025-0277,2025-10-19,2030-10-19,CONSUMIDO
OP-2025-0278,2025-10-13,2028-10-13,CONSUMIDO
OP-2025-0279,2025-10-13,2030-10-13,CONSUMIDO
OP-2025-0280,2025-10-16,2030-10-16,DISPONIVEL
OP-2025-0282,2025-10-23,2030-10-23,CONSUMIDO
OP-2025-0283,2025-10-21,2030-10-21,CONSUMIDO
OP-2025-0284,2025-10-19,2026-10-19,DISPONIVEL
OP-2025-0285,2025-10-18,2030-10-18,BLOQUEADO
OP-2025-0286,2025-10-22,2026-10-22,DISPONIVEL
OP-2025-0287,2025-10-29,2030-10-28,CONSUMIDO
OP-2025-0288,2025-10-28,2030-10-28,CONSUMIDO
OP-2025-0289,2025-10-19,2028-10-19,CONSUMIDO
OP-2025-0290,2025-10-30,2030-10-28,CONSUMIDO
OP-2025-0291,2025-10-23,2030-10-23,CONSUMIDO
OP-2025-0292,2025-10-30,2030-10-28,CONSUMIDO
OP-2025-0293,2025-11-01,2030-11-01,CONSUMIDO
OP-2025-0294,2025-10-27,2028-10-27,CONSUMIDO
OP-2025-0295,2025-10-30,2030-10-28,CONSUMIDO
OP-2025-0296,2025-11-08,2030-11-08,CONSUMIDO
OP-2025-0297,2025-11-03,2028-11-03,CONSUMIDO
OP-2025-0298,2025-10-28,2028-10-28,CONSUMIDO
OP-2025-0299,2025-11-05,2030-11-05,CONSUMIDO
OP-2025-0300,2025-11-11,2030-11-11,CONSUMIDO
OP-2025-0301,2025-11-10,2030-11-10,DISPONIVEL
OP-2025-0302,2025-11-12,2030-11-12,DISPONIVEL
OP-2025-0303,2025-11-07,2029-11-07,DISPONIVEL
OP-2025-0304,2025-11-10,2028-11-10,CONSUMIDO
OP-2025-0305,2025-11-08,2026-11-08,DISPONIVEL
OP-2025-0306,2025-11-05,2028-11-05,CONSUMIDO
OP-2025-0307,2025-11-12,2028-11-12,CONSUMIDO
OP-2025-0308,2025-11-09,2026-11-09,DISPONIVEL
OP-2025-0309,2025-11-13,2030-11-13,CONSUMIDO
OP-2025-0310,2025-11-06,2030-11-06,CONSUMIDO
OP-2025-0311,2025-11-19,2030-11-19,CONSUMIDO
OP-2025-0312,2025-11-20,2030-11-20,CONSUMIDO
OP-2025-0313,2025-11-20,2030-11-20,BLOQUEADO
OP-2025-0314,2025-11-13,2028-11-13,CONSUMIDO
OP-2025-0315,2025-11-13,2026-11-13,DISPONIVEL
OP-2025-0316,2025-11-18,2030-11-18,CONSUMIDO
OP-2025-0317,2025-11-15,2030-11-15,CONSUMIDO
OP-2025-0318,2025-11-15,2030-11-15,CONSUMIDO
OP-2025-0319,2025-11-17,2030-11-17,DISPONIVEL
OP-2025-0376,2025-11-17,2030-11-17,DISPONIVEL
OP-2025-0320,2025-11-15,2026-11-15,DISPONIVEL
OP-2025-0321,2025-11-16,2028-11-16,CONSUMIDO
OP-2025-0322,2025-11-24,2030-11-24,DISPONIVEL
OP-2025-0323,2025-11-21,2030-11-21,CONSUMIDO
OP-2025-0324,2025-11-22,2028-11-22,CONSUMIDO
OP-2025-0325,2025-12-01,2030-12-01,CONSUMIDO
OP-2025-0326,2025-11-28,2030-11-28,CONSUMIDO
OP-2025-0327,2025-12-01,2030-12-01,CONSUMIDO
OP-2025-0328,2025-11-21,2026-11-21,DISPONIVEL
OP-2025-0329,2025-11-29,2030-11-28,CONSUMIDO
OP-2025-0330,2025-11-29,2030-11-28,CONSUMIDO
OP-2025-0331,2025-11-28,2028-11-28,CONSUMIDO
OP-2025-0332,2025-11-28,2030-11-28,CONSUMIDO
OP-2025-0333,2025-11-27,2026-11-27,DISPONIVEL
OP-2025-0334,2025-12-11,2030-12-11,CONSUMIDO
OP-2025-0335,2025-12-01,2028-12-01,CONSUMIDO
OP-2025-0336,2025-12-06,2030-12-06,CONSUMIDO
OP-2025-0337,2025-12-06,2028-12-06,CONSUMIDO
OP-2025-0338,2025-12-08,2030-12-08,CONSUMIDO
OP-2025-0339,2025-12-15,2030-12-15,DISPONIVEL
OP-2025-0340,2025-12-13,2030-12-13,DISPONIVEL
OP-2025-0341,2025-12-05,2026-12-05,DISPONIVEL
OP-2025-0342,2025-12-10,2029-12-10,DISPONIVEL
OP-2025-0343,2025-12-08,2026-12-08,DISPONIVEL
OP-2025-0344,2025-12-17,2030-12-17,CONSUMIDO
OP-2025-0345,2025-12-16,2028-12-16,CONSUMIDO
OP-2025-0346,2025-12-09,2028-12-09,CONSUMIDO
OP-2025-0347,2025-12-16,2030-12-16,CONSUMIDO
OP-2025-0348,2025-12-16,2030-12-16,CONSUMIDO
OP-2025-0349,2025-12-19,2030-12-19,DISPONIVEL
OP-2025-0350,2025-12-18,2029-12-18,DISPONIVEL
OP-2025-0351,2025-12-21,2030-12-21,CONSUMIDO
OP-2025-0352,2025-12-19,2026-12-19,DISPONIVEL
OP-2025-0353,2025-12-23,2030-12-23,CONSUMIDO
OP-2025-0354,2025-12-23,2026-12-23,DISPONIVEL
OP-2025-0355,2025-12-29,2030-12-28,CONSUMIDO
OP-2025-0356,2025-12-23,2028-12-23,CONSUMIDO
OP-2025-0357,2025-12-28,2030-12-28,CONSUMIDO
OP-2025-0358,2025-12-29,2030-12-28,CONSUMIDO
OP-2025-0359,2025-12-26,2028-12-26,CONSUMIDO
OP-2025-0360,2025-12-25,2026-12-25,DISPONIVEL
OP-2025-0361,2025-12-28,2030-12-28,CONSUMIDO
OP-2025-0362,2025-12-30,2030-12-28,CONSUMIDO
OP-2025-0363,2025-12-30,2030-12-28,CONSUMIDO
OP-2025-0364,2026-01-01,2031-01-01,CONSUMIDO
OP-2025-0365,2025-12-27,2028-12-27,CONSUMIDO
OP-2025-0366,2025-12-31,2030-12-28,CONSUMIDO
OP-2025-0367,2026-01-02,2031-01-02,CONSUMIDO
OP-2025-0368,2026-01-10,2029-01-10,CONSUMIDO
OP-2025-0369,2026-01-02,2031-01-02,BLOQUEADO
OP-2026-0001,2026-01-08,2031-01-08,DISPONIVEL
OP-2026-0002,2026-01-05,2027-01-05,DISPONIVEL
OP-2026-0003,2026-01-14,2031-01-14,DISPONIVEL
OP-2026-0004,2026-01-09,2030-01-09,DISPONIVEL
OP-2026-0005,2026-01-08,2031-01-08,CONSUMIDO
OP-2026-0006,2026-01-13,2031-01-13,CONSUMIDO
OP-2026-0007,2026-01-13,2027-01-13,DISPONIVEL
OP-2026-0008,2026-01-16,2031-01-16,CONSUMIDO
OP-2026-0009,2026-01-12,2029-01-12,CONSUMIDO
OP-2026-0010,2026-01-19,2031-01-19,CONSUMIDO
OP-2026-0012,2026-01-18,2031-01-18,CONSUMIDO
OP-2026-0013,2026-01-19,2027-01-19,DISPONIVEL
OP-2026-0014,2026-01-24,2031-01-24,CONSUMIDO
OP-2026-0015,2026-01-19,2031-01-19,CONSUMIDO
OP-2026-0016,2026-01-21,2029-01-21,CONSUMIDO
OP-2026-0017,2026-01-18,2029-01-18,CONSUMIDO
OP-2026-0018,2026-01-24,2030-01-24,DISPONIVEL
OP-2026-0019,2026-01-28,2031-01-28,CONSUMIDO
OP-2026-0020,2026-01-29,2031-01-28,CONSUMIDO
OP-2026-0021,2026-01-27,2031-01-27,CONSUMIDO
OP-2026-0022,2026-01-27,2031-01-27,CONSUMIDO
OP-2026-0023,2026-01-28,2031-01-28,BLOQUEADO
OP-2026-0024,2026-01-28,2031-01-28,CONSUMIDO
OP-2026-0025,2026-01-26,2027-01-26,BLOQUEADO
OP-2026-0026,2026-01-27,2031-01-27,CONSUMIDO
OP-2026-0027,2026-01-30,2029-01-28,CONSUMIDO
OP-2026-0028,2026-02-02,2031-02-02,CONSUMIDO
OP-2026-0029,2026-02-05,2031-02-05,CONSUMIDO
OP-2026-0030,2026-01-29,2029-01-28,CONSUMIDO
OP-2026-0031,2026-02-04,2031-02-04,CONSUMIDO
OP-2026-0032,2026-01-30,2029-01-28,CONSUMIDO
OP-2026-0033,2026-02-05,2031-02-05,CONSUMIDO
OP-2026-0034,2026-02-05,2031-02-05,CONSUMIDO
OP-2026-0035,2026-02-10,2031-02-10,CONSUMIDO
OP-2026-0036,2026-02-10,2031-02-10,DISPONIVEL
OP-2026-0037,2026-02-08,2027-02-08,DISPONIVEL
OP-2026-0038,2026-02-14,2031-02-14,CONSUMIDO
OP-2026-0039,2026-02-12,2029-02-12,CONSUMIDO
OP-2026-0040,2026-02-03,2029-02-03,CONSUMIDO
OP-2026-0041,2026-02-06,2027-02-06,DISPONIVEL
OP-2026-0042,2026-02-13,2031-02-13,DISPONIVEL
OP-2026-0043,2026-02-13,2030-02-13,DISPONIVEL
OP-2026-0044,2026-02-15,2031-02-15,CONSUMIDO
OP-2026-0045,2026-02-10,2029-02-10,BLOQUEADO
OP-2026-0046,2026-02-20,2031-02-20,CONSUMIDO
OP-2026-0047,2026-02-19,2031-02-19,CONSUMIDO
OP-2026-0048,2026-02-23,2031-02-23,CONSUMIDO
OP-2026-0049,2026-02-25,2029-02-25,CONSUMIDO
OP-2026-0050,2026-02-15,2030-02-15,DISPONIVEL
OP-2026-0051,2026-02-19,2031-02-19,CONSUMIDO
OP-2026-0052,2026-02-14,2027-02-14,DISPONIVEL
OP-2026-0053,2026-02-20,2031-02-20,DISPONIVEL
OP-2026-0054,2026-02-17,2031-02-17,CONSUMIDO
OP-2026-0055,2026-02-13,2029-02-13,CONSUMIDO
OP-2026-0056,2026-02-16,2027-02-16,DISPONIVEL
OP-2026-0057,2026-02-27,2031-02-27,DISPONIVEL
OP-2026-0058,2026-02-24,2031-02-24,CONSUMIDO
OP-2026-0059,2026-02-24,2031-02-24,CONSUMIDO
OP-2026-0060,2026-02-28,2031-02-28,CONSUMIDO
OP-2026-0061,2026-02-26,2031-02-26,BLOQUEADO
OP-2026-0062,2026-03-01,2031-03-01,CONSUMIDO
OP-2026-0063,2026-03-01,2031-03-01,CONSUMIDO
OP-2026-0064,2026-03-01,2029-03-01,CONSUMIDO
OP-2026-0065,2026-02-24,2027-02-24,DISPONIVEL
OP-2026-0066,2026-03-02,2031-03-02,CONSUMIDO
OP-2026-0067,2026-03-04,2031-03-04,CONSUMIDO
OP-2026-0068,2026-02-27,2029-02-27,CONSUMIDO
OP-2026-0069,2026-03-01,2031-03-01,CONSUMIDO
OP-2026-0070,2026-03-08,2031-03-08,CONSUMIDO
OP-2026-0071,2026-03-09,2031-03-09,CONSUMIDO
OP-2026-0072,2026-03-05,2031-03-05,CONSUMIDO
OP-2026-0073,2026-03-11,2031-03-11,CONSUMIDO
OP-2026-0074,2026-03-06,2029-03-06,CONSUMIDO
OP-2026-0075,2026-03-20,2031-03-20,CONSUMIDO
OP-2026-0076,2026-03-14,2030-03-14,DISPONIVEL
OP-2026-0077,2026-03-18,2029-03-18,CONSUMIDO
OP-2026-0078,2026-03-09,2031-03-09,CONSUMIDO
