ordem_codigo,componente_codigo,quantidade_planejada,quantidade_consumida,justificativa,justificado_por
OP-2025-0023,SA-CARC-USIN,40.0000,40.0000,,
OP-2025-0023,MP-ORING-40,80.0000,80.0000,,
OP-2025-0023,MP-GAXETA-NBR,40.0000,40.0000,,
OP-2025-0023,MP-PARAF-M8,160.0000,160.0000,,
OP-2025-0024,SA-CARC-FUND,85.0000,85.0000,,
OP-2025-0025,SA-EIXO-USIN,70.0000,70.0000,,
OP-2025-0025,MP-OLEO-TEMPERA,10.5000,10.5000,,
OP-2025-0026,SA-EIXO-USIN,85.0000,82.0000,Aproveitamento de sobra do lote anterior,supervisor.turno.c
OP-2025-0026,MP-OLEO-TEMPERA,12.7500,13.6527,Reprocesso por dureza abaixo da especificação,supervisor.turno.c
OP-2025-0027,SA-SUPORTE-EST,80.0000,80.0000,,
OP-2025-0027,MP-ARAME-MIG,4.4000,4.4000,,
OP-2025-0028,MP-CHAPA-3MM,148.0000,148.0000,,
OP-2025-0029,MP-CHAPA-3MM,138.7500,138.7500,,
OP-2025-0030,SA-CARC-USIN,55.0000,59.0000,Componente danificado no manuseio,supervisor.turno.a
OP-2025-0030,MP-ORING-40,110.0000,110.0000,,
OP-2025-0030,MP-GAXETA-NBR,55.0000,55.0000,,
OP-2025-0030,MP-PARAF-M8,220.0000,220.0000,,
OP-2025-0031,SA-CARC-FUND,55.0000,55.0000,,
OP-2025-0032,SA-CARC-FUND,35.0000,34.0000,Aproveitamento de sobra do lote anterior,analista.pcp
OP-2025-0033,MP-ALU-A380,240.0000,250.1040,Perda de metal no canal de alimentação,supervisor.turno.a
OP-2025-0034,SA-EIXO-USIN,70.0000,70.0000,,
OP-2025-0034,MP-OLEO-TEMPERA,10.5000,10.9704,Reprocesso por dureza abaixo da especificação,analista.pcp
OP-2025-0035,SA-CARC-USIN,85.0000,85.0000,,
OP-2025-0035,SA-EIXO-TEMP,85.0000,86.0000,Parafuso com rosca danificada substituído,supervisor.turno.b
OP-2025-0035,MP-ROLAM-6205,170.0000,170.0000,,
OP-2025-0035,MP-PARAF-M8,680.0000,680.0000,,
OP-2025-0036,SA-SUPORTE-EST,80.0000,80.0000,,
OP-2025-0036,MP-ARAME-MIG,4.4000,4.4000,,
OP-2025-0037,MP-CHAPA-3MM,138.7500,138.7500,,
OP-2025-0038,SA-ESTRUT-SOLD,20.0000,20.0000,,
OP-2025-0038,MP-TINTA-EPOXI,16.0000,16.0000,,
OP-2025-0039,SA-CARC-USIN,35.0000,35.0000,,
OP-2025-0039,SA-EIXO-TEMP,70.0000,68.0000,Aproveitamento de sobra do lote anterior,supervisor.turno.c
OP-2025-0039,MP-ROLAM-6205,140.0000,140.0000,,
OP-2025-0039,MP-PARAF-M8,350.0000,350.0000,,
OP-2025-0040,SA-SUPORTE-EST,75.0000,75.0000,,
OP-2025-0040,MP-TINTA-EPOXI,9.0000,9.0000,,
OP-2025-0041,MP-ACO-1045,91.0000,91.0000,,
OP-2025-0042,MP-CHAPA-3MM,148.0000,150.7380,Perda de chapa no ajuste da ferramenta,analista.pcp
OP-2025-0043,MP-ALU-A380,112.0000,115.7744,Refugo por porosidade na fundição,supervisor.turno.a
OP-2025-0044,MP-ALU-A380,112.0000,112.0000,,
OP-2025-0045,MP-ACO-1045,182.0000,182.0000,,
OP-2025-0370,SA-CARC-USIN,2.0000,2.0000,,
OP-2025-0370,SA-EIXO-TEMP,4.0000,4.0000,,
OP-2025-0370,MP-ROLAM-6205,8.0000,8.0000,,
OP-2025-0370,MP-PARAF-M8,20.0000,20.0000,,
OP-2025-0046,SA-CARC-USIN,55.0000,55.0000,,
OP-2025-0046,MP-ORING-40,110.0000,110.0000,,
OP-2025-0046,MP-GAXETA-NBR,55.0000,55.0000,,
OP-2025-0046,MP-PARAF-M8,220.0000,228.0000,Parafuso com rosca danificada substituído,analista.pcp
OP-2025-0047,SA-SUPORTE-EST,80.0000,80.0000,,
OP-2025-0047,MP-ARAME-MIG,4.4000,4.4000,,
OP-2025-0048,SA-CARC-USIN,35.0000,,,
OP-2025-0048,SA-EIXO-TEMP,70.0000,,,
OP-2025-0048,MP-ROLAM-6205,140.0000,,,
OP-2025-0048,MP-PARAF-M8,350.0000,,,
OP-2025-0049,SA-SUPORTE-EST,75.0000,,,
OP-2025-0049,MP-TINTA-EPOXI,9.0000,,,
OP-2025-0050,SA-ESTRUT-SOLD,20.0000,20.0000,,
OP-2025-0050,MP-TINTA-EPOXI,16.0000,15.6976,Aproveitamento de sobra do lote anterior,supervisor.turno.c
OP-2025-0051,SA-CARC-FUND,75.0000,75.0000,,
OP-2025-0052,MP-ALU-A380,112.0000,112.0000,,
OP-2025-0053,SA-CARC-FUND,35.0000,36.0000,Quebra de ferramenta durante o corte,supervisor.turno.c
OP-2025-0054,MP-CHAPA-3MM,222.0000,235.2534,Perda de chapa no ajuste da ferramenta,supervisor.turno.c
OP-2025-0055,MP-ALU-A380,240.0000,240.0000,,
OP-2025-0056,MP-ACO-1045,91.0000,91.0000,,
OP-2025-0057,SA-CARC-FUND,35.0000,,,
OP-2025-0058,SA-EIXO-USIN,35.0000,,,
OP-2025-0058,MP-OLEO-TEMPERA,5.2500,,,
OP-2025-0059,MP-ALU-A380,112.0000,112.0000,,
OP-2025-0060,SA-ESTRUT-SOLD,20.0000,20.0000,,
OP-2025-0060,MP-TINTA-EPOXI,16.0000,16.0000,,
OP-2025-0061,MP-ACO-1045,182.0000,182.0000,,
OP-2025-0062,SA-SUPORTE-EST,120.0000,120.0000,,
OP-2025-0062,MP-ARAME-MIG,6.6000,6.6924,Retrabalho de cordão de solda,supervisor.turno.c
OP-2025-0063,SA-EIXO-USIN,70.0000,71.0000,Reprocesso por dureza abaixo da especificação,supervisor.turno.a
OP-2025-0063,MP-OLEO-TEMPERA,10.5000,10.5000,,
OP-2025-0064,MP-CHAPA-3MM,222.0000,222.0000,,
OP-2025-0065,MP-CHAPA-3MM,120.2500,120.2500,,
OP-2025-0066,SA-CARC-FUND,75.0000,75.0000,,
OP-2025-0067,SA-CARC-FUND,35.0000,35.0000,,
OP-2025-0068,SA-CARC-USIN,35.0000,35.0000,,
OP-2025-0068,SA-EIXO-TEMP,35.0000,35.0000,,
OP-2025-0068,MP-ROLAM-6205,70.0000,73.0000,Parafuso com rosca danificada substituído,supervisor.turno.a
OP-2025-0068,MP-PARAF-M8,280.0000,288.0000,Parafuso com rosca danificada substituído,supervisor.turno.b
OP-2025-0069,SA-CARC-USIN,75.0000,75.0000,,
OP-2025-0069,MP-ORING-40,150.0000,150.0000,,
OP-2025-0069,MP-GAXETA-NBR,75.0000,75.0000,,
OP-2025-0069,MP-PARAF-M8,300.0000,300.0000,,
OP-2025-0070,SA-CARC-FUND,35.0000,35.0000,,
OP-2025-0071,SA-EIXO-USIN,35.0000,35.0000,,
OP-2025-0071,MP-OLEO-TEMPERA,5.2500,5.5535,Reprocesso por dureza abaixo da especificação,supervisor.turno.a
OP-2025-0072,MP-ACO-1045,91.0000,91.0000,,
OP-2025-0073,SA-CARC-USIN,35.0000,37.0000,Parafuso com rosca danificada substituído,analista.pcp
OP-2025-0073,SA-EIXO-TEMP,70.0000,70.0000,,
OP-2025-0073,MP-ROLAM-6205,140.0000,140.0000,,
OP-2025-0073,MP-PARAF-M8,350.0000,350.0000,,
OP-2025-0074,MP-ALU-A380,112.0000,120.4336,Perda de metal no canal de alimentação,analista.pcp
OP-2025-0075,SA-SUPORTE-EST,120.0000,120.0000,,
OP-2025-0075,MP-ARAME-MIG,6.6000,6.9927,Retrabalho de cordão de solda,supervisor.turno.a
OP-2025-0076,SA-EIXO-USIN,70.0000,73.0000,Troca parcial do óleo de têmpera,supervisor.turno.b
OP-2025-0076,MP-OLEO-TEMPERA,10.5000,10.5000,,
OP-2025-0077,SA-ESTRUT-SOLD,30.0000,30.0000,,
OP-2025-0077,MP-TINTA-EPOXI,24.0000,25.8360,Repintura por falha de aderência,supervisor.turno.a
OP-2025-0078,SA-SUPORTE-EST,65.0000,69.0000,Variação na espessura da camada de tinta,supervisor.turno.a
OP-2025-0078,MP-TINTA-EPOXI,7.8000,7.8000,,
OP-2025-0079,MP-CHAPA-3MM,120.2500,120.2500,,
OP-2025-0080,MP-ACO-1045,130.0000,130.0000,,
OP-2025-0081,MP-ACO-1045,91.0000,91.0000,,
OP-2025-0082,MP-CHAPA-3MM,222.0000,222.0000,,
OP-2025-0083,MP-ALU-A380,80.0000,80.0000,,
OP-2025-0084,SA-CARC-USIN,75.0000,80.0000,Componente danificado no manuseio,supervisor.turno.a
OP-2025-0084,MP-ORING-40,150.0000,150.0000,,
OP-2025-0084,MP-GAXETA-NBR,75.0000,75.0000,,
OP-2025-0084,MP-PARAF-M8,300.0000,300.0000,,
OP-2025-0085,SA-CARC-USIN,35.0000,35.0000,,
OP-2025-0085,SA-EIXO-TEMP,35.0000,35.0000,,
OP-2025-0085,MP-ROLAM-6205,70.0000,70.0000,,
OP-2025-0085,MP-PARAF-M8,280.0000,280.0000,,
OP-2025-0086,MP-ALU-A380,112.0000,112.0000,,
OP-2025-0087,SA-ESTRUT-SOLD,30.0000,30.0000,,
OP-2025-0087,MP-TINTA-EPOXI,24.0000,24.0000,,
OP-2025-0088,SA-SUPORTE-EST,65.0000,65.0000,,
OP-2025-0088,MP-TINTA-EPOXI,7.8000,8.1284,Variação na espessura da camada de tinta,supervisor.turno.a
OP-2025-0089,SA-CARC-FUND,35.0000,35.0000,,
OP-2025-0090,SA-CARC-USIN,35.0000,35.0000,,
OP-2025-0090,SA-EIXO-TEMP,70.0000,70.0000,,
OP-2025-0090,MP-ROLAM-6205,140.0000,140.0000,,
OP-2025-0090,MP-PARAF-M8,350.0000,350.0000,,
OP-2025-0091,MP-ALU-A380,432.0000,456.6672,Refugo por porosidade na fundição,supervisor.turno.a
OP-2025-0092,SA-SUPORTE-EST,120.0000,119.0000,Aproveitamento de sobra do lote anterior,supervisor.turno.c
OP-2025-0092,MP-ARAME-MIG,6.6000,6.6000,,
OP-2025-0093,SA-EIXO-USIN,35.0000,,,
OP-2025-0093,MP-OLEO-TEMPERA,5.2500,,,
OP-2025-0094,MP-CHAPA-3MM,296.0000,296.0000,,
OP-2025-0095,MP-ALU-A380,80.0000,81.6720,Perda de metal no canal de alimentação,supervisor.turno.c
OP-2025-0096,SA-CARC-FUND,25.0000,26.0000,Quebra de ferramenta durante o corte,supervisor.turno.c
OP-2025-0097,MP-CHAPA-3MM,120.2500,115.6204,Aproveitamento de sobra do lote anterior,analista.pcp
OP-2025-0098,MP-ACO-1045,91.0000,91.0000,,
OP-2025-0099,MP-ALU-A380,112.0000,112.0000,,
OP-2025-0100,SA-CARC-FUND,35.0000,35.0000,,
OP-2025-0101,SA-EIXO-USIN,50.0000,50.0000,,
OP-2025-0101,MP-OLEO-TEMPERA,7.5000,7.5000,,
OP-2025-0102,SA-EIXO-USIN,35.0000,35.0000,,
OP-2025-0102,MP-OLEO-TEMPERA,5.2500,5.3692,Reprocesso por dureza abaixo da especificação,analista.pcp
OP-2025-0103,MP-ACO-1045,130.0000,137.4100,Perda de material no setup da máquina,analista.pcp
OP-2025-0104,SA-SUPORTE-EST,160.0000,160.0000,,
OP-2025-0104,MP-ARAME-MIG,8.8000,8.8000,,
OP-2025-0105,SA-CARC-USIN,35.0000,36.0000,Parafuso com rosca danificada substituído,supervisor.turno.c
OP-2025-0105,SA-EIXO-TEMP,35.0000,35.0000,,
OP-2025-0105,MP-ROLAM-6205,70.0000,70.0000,,
OP-2025-0105,MP-PARAF-M8,280.0000,280.0000,,
OP-2025-0106,MP-CHAPA-3MM,296.0000,296.0000,,
OP-2025-0107,SA-SUPORTE-EST,65.0000,65.0000,,
OP-2025-0107,MP-TINTA-EPOXI,7.8000,7.8000,,
OP-2025-0108,SA-CARC-FUND,135.0000,135.0000,,
OP-2025-0109,SA-ESTRUT-SOLD,30.0000,30.0000,,
OP-2025-0109,MP-TINTA-EPOXI,24.0000,24.0000,,
OP-2025-0110,MP-ACO-1045,91.0000,91.0000,,
OP-2025-0111,SA-CARC-FUND,25.0000,25.0000,,
OP-2025-0112,MP-CHAPA-3MM,175.7500,180.9522,Perda de chapa no ajuste da ferramenta,supervisor.turno.c
OP-2025-0113,SA-CARC-USIN,25.0000,25.0000,,
OP-2025-0113,SA-EIXO-TEMP,50.0000,50.0000,,
OP-2025-0113,MP-ROLAM-6205,100.0000,100.0000,,
OP-2025-0113,MP-PARAF-M8,250.0000,250.0000,,
OP-2025-0114,MP-ALU-A380,112.0000,112.0000,,
OP-2025-0115,SA-SUPORTE-EST,160.0000,160.0000,,
OP-2025-0115,MP-ARAME-MIG,8.8000,8.9109,Peça refugada por trinca na solda,analista.pcp
OP-2025-0116,SA-ESTRUT-SOLD,40.0000,42.0000,Repintura por falha de aderência,supervisor.turno.b
OP-2025-0116,MP-TINTA-EPOXI,32.0000,32.0000,,
OP-2025-0117,SA-CARC-USIN,35.0000,35.0000,,
OP-2025-0117,SA-EIXO-TEMP,35.0000,35.0000,,
OP-2025-0117,MP-ROLAM-6205,70.0000,70.0000,,
OP-2025-0117,MP-PARAF-M8,280.0000,280.0000,,
OP-2025-0118,SA-CARC-FUND,35.0000,35.0000,,
OP-2025-0119,SA-EIXO-USIN,35.0000,35.0000,,
OP-2025-0119,MP-OLEO-TEMPERA,5.2500,5.6511,Reprocesso por dureza abaixo da especificação,analista.pcp
OP-2025-0371,SA-CARC-USIN,3.0000,3.0000,,
OP-2025-0371,SA-EIXO-TEMP,3.0000,3.0000,,
OP-2025-0371,MP-ROLAM-6205,6.0000,6.0000,,
OP-2025-0371,MP-PARAF-M8,24.0000,24.0000,,
OP-2025-0120,MP-ALU-A380,80.0000,80.0000,,
OP-2025-0121,SA-EIXO-USIN,50.0000,50.0000,,
OP-2025-0121,MP-OLEO-TEMPERA,7.5000,7.4543,Aproveitamento de sobra do lote anterior,supervisor.turno.c
OP-2025-0122,SA-CARC-USIN,135.0000,135.0000,,
OP-2025-0122,MP-ORING-40,270.0000,270.0000,,
OP-2025-0122,MP-GAXETA-NBR,135.0000,135.0000,,
OP-2025-0122,MP-PARAF-M8,540.0000,540.0000,,
OP-2025-0123,MP-ACO-1045,130.0000,130.0000,,
OP-2025-0372,SA-ESTRUT-SOLD,2.0000,2.0000,,
OP-2025-0372,MP-TINTA-EPOXI,1.6000,1.6000,,
OP-2025-0124,SA-SUPORTE-EST,95.0000,95.0000,,
OP-2025-0124,MP-TINTA-EPOXI,11.4000,11.4000,,
OP-2025-0125,MP-CHAPA-3MM,175.7500,175.7500,,
OP-2025-0126,MP-ALU-A380,112.0000,112.0000,,
OP-2025-0127,SA-CARC-FUND,35.0000,,,
OP-2025-0128,SA-ESTRUT-SOLD,40.0000,39.0000,Aproveitamento de sobra do lote anterior,supervisor.turno.b
OP-2025-0128,MP-TINTA-EPOXI,32.0000,32.6720,Variação na espessura da camada de tinta,supervisor.turno.b
OP-2025-0129,SA-EIXO-USIN,35.0000,,,
OP-2025-0129,MP-OLEO-TEMPERA,5.2500,,,
OP-2025-0130,MP-ACO-1045,91.0000,91.0000,,
OP-2025-0131,SA-CARC-USIN,35.0000,35.0000,,
OP-2025-0131,SA-EIXO-TEMP,35.0000,35.0000,,
OP-2025-0131,MP-ROLAM-6205,70.0000,70.0000,,
OP-2025-0131,MP-PARAF-M8,280.0000,280.0000,,
OP-2025-0132,SA-CARC-USIN,25.0000,24.0000,Aproveitamento de sobra do lote anterior,supervisor.turno.b
OP-2025-0132,SA-EIXO-TEMP,50.0000,51.0000,Parafuso com rosca danificada substituído,supervisor.turno.a
OP-2025-0132,MP-ROLAM-6205,100.0000,100.0000,,
OP-2025-0132,MP-PARAF-M8,250.0000,250.0000,,
OP-2025-0133,MP-ALU-A380,112.0000,112.0000,,
OP-2025-0134,MP-ACO-1045,182.0000,182.0000,,
OP-2025-0135,MP-ALU-A380,240.0000,235.2960,Aproveitamento de sobra do lote anterior,supervisor.turno.b
OP-2025-0136,SA-CARC-FUND,25.0000,25.0000,,
OP-2025-0373,SA-ESTRUT-SOLD,3.0000,3.0000,,
OP-2025-0373,MP-TINTA-EPOXI,2.4000,2.4000,,
OP-2025-0137,MP-CHAPA-3MM,629.0000,636.0448,Rebarba acima do limite gerou refugo,supervisor.turno.b
OP-2025-0138,SA-SUPORTE-EST,95.0000,102.0000,Variação na espessura da camada de tinta,supervisor.turno.a
OP-2025-0138,MP-TINTA-EPOXI,11.4000,11.4000,,
OP-2025-0139,MP-ALU-A380,112.0000,112.0000,,
OP-2025-0140,MP-ACO-1045,182.0000,182.0000,,
OP-2025-0141,MP-ALU-A380,112.0000,,,
OP-2025-0142,SA-CARC-FUND,35.0000,35.0000,,
OP-2025-0143,SA-EIXO-USIN,50.0000,52.0000,Troca parcial do óleo de têmpera,analista.pcp
OP-2025-0143,MP-OLEO-TEMPERA,7.5000,7.5000,,
OP-2025-0144,SA-CARC-USIN,35.0000,35.0000,,
OP-2025-0144,SA-EIXO-TEMP,35.0000,35.0000,,
OP-2025-0144,MP-ROLAM-6205,70.0000,70.0000,,
OP-2025-0144,MP-PARAF-M8,280.0000,280.0000,,
OP-2025-0145,MP-ACO-1045,91.0000,91.0000,,
OP-2025-0146,MP-ALU-A380,240.0000,252.4560,Perda de metal no canal de alimentação,supervisor.turno.b
OP-2025-0147,SA-CARC-FUND,35.0000,37.0000,Refugo por dimensional fora de tolerância,supervisor.turno.b
OP-2025-0148,SA-CARC-FUND,75.0000,75.0000,,
OP-2025-0149,MP-CHAPA-3MM,185.0000,195.2860,Rebarba acima do limite gerou refugo,supervisor.turno.c
OP-2025-0150,SA-EIXO-USIN,70.0000,70.0000,,
OP-2025-0150,MP-OLEO-TEMPERA,10.5000,10.5000,,
OP-2025-0151,SA-SUPORTE-EST,340.0000,340.0000,,
OP-2025-0151,MP-ARAME-MIG,18.7000,18.7000,,
OP-2025-0152,SA-EIXO-USIN,35.0000,35.0000,,
OP-2025-0152,MP-OLEO-TEMPERA,5.2500,5.2500,,
OP-2025-0153,SA-CARC-USIN,25.0000,25.0000,,
OP-2025-0153,SA-EIXO-TEMP,50.0000,50.0000,,
OP-2025-0153,MP-ROLAM-6205,100.0000,97.0000,Aproveitamento de sobra do lote anterior,supervisor.turno.b
OP-2025-0153,MP-PARAF-M8,250.0000,261.0000,Componente danificado no manuseio,supervisor.turno.b
OP-2025-0154,MP-ALU-A380,112.0000,112.0000,,
OP-2025-0155,SA-CARC-FUND,35.0000,35.0000,,
OP-2025-0156,SA-CARC-FUND,35.0000,35.0000,,
OP-2025-0157,SA-CARC-FUND,75.0000,75.0000,,
OP-2025-0158,SA-EIXO-USIN,70.0000,70.0000,,
OP-2025-0158,MP-OLEO-TEMPERA,10.5000,10.5000,,
OP-2025-0159,SA-CARC-USIN,35.0000,35.0000,,
OP-2025-0159,SA-EIXO-TEMP,35.0000,35.0000,,
OP-2025-0159,MP-ROLAM-6205,70.0000,70.0000,,
OP-2025-0159,MP-PARAF-M8,280.0000,298.0000,Parafuso com rosca danificada substituído,analista.pcp
OP-2025-0160,SA-SUPORTE-EST,100.0000,100.0000,,
OP-2025-0160,MP-TINTA-EPOXI,12.0000,12.0000,,
OP-2025-0161,MP-ACO-1045,91.0000,91.0000,,
OP-2025-0162,SA-CARC-USIN,35.0000,35.0000,,
OP-2025-0162,SA-EIXO-TEMP,70.0000,70.0000,,
OP-2025-0162,MP-ROLAM-6205,140.0000,140.0000,,
OP-2025-0162,MP-PARAF-M8,350.0000,350.0000,,
OP-2025-0163,SA-CARC-USIN,75.0000,77.0000,Parafuso com rosca danificada substituído,analista.pcp
OP-2025-0163,MP-ORING-40,150.0000,150.0000,,
OP-2025-0163,MP-GAXETA-NBR,75.0000,75.0000,,
OP-2025-0163,MP-PARAF-M8,300.0000,300.0000,,
OP-2025-0164,SA-EIXO-USIN,35.0000,35.0000,,
OP-2025-0164,MP-OLEO-TEMPERA,5.2500,5.2500,,
OP-2025-0165,SA-ESTRUT-SOLD,85.0000,,,
OP-2025-0165,MP-TINTA-EPOXI,68.0000,,,
OP-2025-0166,MP-CHAPA-3MM,185.0000,185.0000,,
OP-2025-0167,MP-ALU-A380,256.0000,269.4144,Perda de metal no canal de alimentação,supervisor.turno.a
OP-2025-0168,SA-CARC-FUND,35.0000,36.0000,Perda de material no setup da máquina,supervisor.turno.c
OP-2025-0169,SA-CARC-USIN,35.0000,35.0000,,
OP-2025-0169,SA-EIXO-TEMP,70.0000,70.0000,,
OP-2025-0169,MP-ROLAM-6205,140.0000,140.0000,,
OP-2025-0169,MP-PARAF-M8,350.0000,350.0000,,
OP-2025-0170,MP-ALU-A380,144.0000,144.0000,,
OP-2025-0171,SA-CARC-USIN,35.0000,35.0000,,
OP-2025-0171,SA-EIXO-TEMP,35.0000,35.0000,,
OP-2025-0171,MP-ROLAM-6205,70.0000,70.0000,,
OP-2025-0171,MP-PARAF-M8,280.0000,280.0000,,
OP-2025-0172,MP-ACO-1045,234.0000,246.7296,Quebra de ferramenta durante o corte,supervisor.turno.b
OP-2025-0173,SA-CARC-USIN,75.0000,75.0000,,
OP-2025-0173,MP-ORING-40,150.0000,150.0000,,
OP-2025-0173,MP-GAXETA-NBR,75.0000,75.0000,,
OP-2025-0173,MP-PARAF-M8,300.0000,300.0000,,
OP-2025-0174,SA-SUPORTE-EST,100.0000,104.0000,Repintura por falha de aderência,supervisor.turno.a
OP-2025-0174,MP-TINTA-EPOXI,12.0000,12.0000,,
OP-2025-0175,MP-ALU-A380,176.0000,,,
OP-2025-0176,SA-EIXO-USIN,35.0000,35.0000,,
OP-2025-0176,MP-OLEO-TEMPERA,5.2500,5.2500,,
OP-2025-0177,MP-CHAPA-3MM,222.0000,222.0000,,
OP-2025-0178,MP-ACO-1045,143.0000,146.8467,Perda de material no setup da máquina,supervisor.turno.b
OP-2025-0179,SA-CARC-FUND,80.0000,80.0000,,
OP-2025-0180,MP-ALU-A380,176.0000,,,
OP-2025-0181,SA-CARC-FUND,45.0000,45.0000,,
OP-2025-0182,SA-CARC-USIN,35.0000,35.0000,,
OP-2025-0182,SA-EIXO-TEMP,35.0000,35.0000,,
OP-2025-0182,MP-ROLAM-6205,70.0000,75.0000,Parafuso com rosca danificada substituído,supervisor.turno.c
OP-2025-0182,MP-PARAF-M8,280.0000,280.0000,,
OP-2025-0183,MP-ALU-A380,144.0000,144.0000,,
OP-2025-0184,SA-EIXO-USIN,90.0000,90.0000,,
OP-2025-0184,MP-OLEO-TEMPERA,13.5000,13.5000,,
OP-2025-0185,MP-ACO-1045,234.0000,234.0000,,
OP-2025-0186,MP-ACO-1045,143.0000,141.2840,Aproveitamento de sobra do lote anterior,analista.pcp
OP-2025-0187,SA-CARC-FUND,55.0000,57.0000,Perda de material no setup da máquina,analista.pcp
OP-2025-0188,SA-SUPORTE-EST,120.0000,120.0000,,
OP-2025-0188,MP-ARAME-MIG,6.6000,6.6000,,
OP-2025-0189,MP-ALU-A380,256.0000,262.3488,Perda de metal no canal de alimentação,supervisor.turno.c
OP-2025-0190,MP-CHAPA-3MM,166.5000,166.5000,,
OP-2025-0191,SA-EIXO-USIN,55.0000,55.0000,,
OP-2025-0191,MP-OLEO-TEMPERA,8.2500,8.2500,,
OP-2025-0192,MP-CHAPA-3MM,222.0000,222.0000,,
OP-2025-0193,SA-CARC-FUND,45.0000,48.0000,Refugo por dimensional fora de tolerância,supervisor.turno.c
OP-2025-0194,SA-CARC-USIN,45.0000,45.0000,,
OP-2025-0194,SA-EIXO-TEMP,90.0000,90.0000,,
OP-2025-0194,MP-ROLAM-6205,180.0000,180.0000,,
OP-2025-0194,MP-PARAF-M8,450.0000,450.0000,,
OP-2025-0195,SA-CARC-FUND,55.0000,55.0000,,
OP-2025-0196,MP-CHAPA-3MM,222.0000,222.0000,,
OP-2025-0197,SA-CARC-USIN,80.0000,80.0000,,
OP-2025-0197,MP-ORING-40,160.0000,160.0000,,
OP-2025-0197,MP-GAXETA-NBR,80.0000,79.0000,Aproveitamento de sobra do lote anterior,supervisor.turno.c
OP-2025-0197,MP-PARAF-M8,320.0000,320.0000,,
OP-2025-0198,MP-CHAPA-3MM,166.5000,166.5000,,
OP-2025-0199,SA-SUPORTE-EST,90.0000,90.0000,,
OP-2025-0199,MP-TINTA-EPOXI,10.8000,10.8000,,
OP-2025-0200,SA-CARC-FUND,80.0000,80.0000,,
OP-2025-0201,SA-EIXO-USIN,55.0000,55.0000,,
OP-2025-0201,MP-OLEO-TEMPERA,8.2500,8.2500,,
OP-2025-0202,SA-ESTRUT-SOLD,30.0000,30.0000,,
OP-2025-0202,MP-TINTA-EPOXI,24.0000,24.0000,,
